task,metric,method,avg,std,best,run1,run2,run3,seeds
circle_packing,sum_radii,relayevolve,2.520733,0.017956,2.531100,2.500000,2.531100,2.531100,1+2
circle_packing,sum_radii,all_cheap,2.265033,0.164487,2.360000,2.075100,2.360000,2.360000,1+2
circle_packing,sum_radii,fixed_switch,2.500000,0.000000,2.500000,2.500000,2.500000,2.500000,1+2
circle_packing,sum_radii,random,2.500000,0.000000,2.500000,2.500000,2.500000,2.500000,1+2
circle_packing,sum_radii,bandit,2.470733,0.025346,2.500000,2.500000,2.456100,2.456100,1+2
circle_packing_rect,radii_sum,relayevolve,2.237833,0.019514,2.249100,2.215300,2.249100,2.249100,1+2
circle_packing_rect,radii_sum,all_cheap,2.198233,0.017898,2.218900,2.218900,2.187900,2.187900,1+2
circle_packing_rect,radii_sum,fixed_switch,2.263867,0.141913,2.345800,2.100000,2.345800,2.345800,1+2
circle_packing_rect,radii_sum,random,1.761633,0.505124,2.344900,2.344900,1.470000,1.470000,1+2
circle_packing_rect,radii_sum,bandit,2.200533,0.087064,2.250800,2.100000,2.250800,2.250800,1+2
heilbronn_convex_13,min_area_normalized,relayevolve,0.022033,0.000231,0.022300,0.022300,0.021900,0.021900,1+2
heilbronn_convex_13,min_area_normalized,all_cheap,0.020267,0.002483,0.021700,0.017400,0.021700,0.021700,1+2
heilbronn_convex_13,min_area_normalized,fixed_switch,0.020600,0.000520,0.020900,0.020000,0.020900,0.020900,1+2
heilbronn_convex_13,min_area_normalized,random,0.023700,0.000693,0.024100,0.022900,0.024100,0.024100,1+2
heilbronn_convex_13,min_area_normalized,bandit,0.023767,0.002367,0.026500,0.026500,0.022400,0.022400,1+2
heilbronn_triangle,min_area_normalized,relayevolve,0.029067,0.000808,0.030000,0.030000,0.028600,0.028600,1+2
heilbronn_triangle,min_area_normalized,all_cheap,0.015367,0.006986,0.019400,0.007300,0.019400,0.019400,1+2
heilbronn_triangle,min_area_normalized,fixed_switch,0.027633,0.003695,0.031900,0.031900,0.025500,0.025500,1+2
heilbronn_triangle,min_area_normalized,random,0.022800,0.003637,0.027000,0.027000,0.020700,0.020700,1+2
heilbronn_triangle,min_area_normalized,bandit,0.027467,0.002483,0.028900,0.024600,0.028900,0.028900,1+2
minimizing_max_min_dist_2,min_max_ratio,relayevolve,0.077300,0.000000,0.077300,0.077300,0.077300,0.077300,1+2
minimizing_max_min_dist_2,min_max_ratio,all_cheap,0.055600,0.000000,0.055600,0.055600,0.055600,0.055600,1+2
minimizing_max_min_dist_2,min_max_ratio,fixed_switch,0.077100,0.000000,0.077100,0.077100,0.077100,0.077100,1
minimizing_max_min_dist_2,min_max_ratio,random,0.076933,0.000058,0.077000,0.077000,0.076900,0.076900,1+2
minimizing_max_min_dist_2,min_max_ratio,bandit,0.077133,0.000289,0.077300,0.076800,0.077300,0.077300,1+2
minimizing_max_min_dist_3,min_max_ratio,relayevolve,0.221033,0.005138,0.224000,0.215100,0.224000,0.224000,1+2
minimizing_max_min_dist_3,min_max_ratio,all_cheap,0.218300,0.006062,0.221800,0.211300,0.221800,0.221800,1+2
minimizing_max_min_dist_3,min_max_ratio,fixed_switch,0.229300,0.015588,0.238300,0.211300,0.238300,0.238300,1+2
minimizing_max_min_dist_3,min_max_ratio,random,0.224000,0.000000,0.224000,0.224000,0.224000,0.224000,1+2
minimizing_max_min_dist_3,min_max_ratio,bandit,0.233333,0.003926,0.235600,0.228800,0.235600,0.235600,1+2
signal_processing,combined_score,relayevolve,0.676800,0.011778,0.683600,0.663200,0.683600,0.683600,1+2
signal_processing,combined_score,all_cheap,0.672567,0.004965,0.678300,0.678300,0.669700,0.669700,1+2
signal_processing,combined_score,fixed_switch,0.725400,0.075344,0.768900,0.638400,0.768900,0.768900,1+2
signal_processing,combined_score,random,0.709067,0.009757,0.714700,0.697800,0.714700,0.714700,1+2
signal_processing,combined_score,bandit,0.657633,0.031927,0.694500,0.694500,0.639200,0.639200,1+2
